url,published,rent,size,district,female_inhabitants,male_inhabitants,diverse_inhabitants,total_inhabitants
wg-zimmer-in-Berlin-Moabit.12212690.html,2025-08-03T00:00:00,550,21,Moabit,0,0,0,2
wg-zimmer-in-Berlin-Tempelhof-Schoeneberg.12182794.html,2025-07-23T00:00:00,800,25,Tempelhof-Schöneberg,1,1,0,3
wg-zimmer-in-Berlin-Neukoelln.11830476.html,2025-07-14T00:00:00,300,9,Neukölln,1,2,0,4
wg-zimmer-in-Berlin-Prenzlauer-Berg.12184899.html,2025-07-24T00:00:00,425,14,Prenzlauer Berg,0,0,0,2
wg-zimmer-in-Berlin-Niederschoeneweide.12085892.html,2025-08-16T00:00:00,650,15,Niederschöneweide,0,0,0,3
wg-zimmer-in-Berlin-Charlottenburg.8214031.html,2025-08-13T00:00:00,750,13,Charlottenburg,2,2,0,7
wg-zimmer-in-Berlin-Berlin.12203110.html,2025-07-30T00:00:00,650,12,Berlin,0,1,0,2
wg-zimmer-in-Berlin-Schoeneberg.12178101.html,2025-07-21T00:00:00,550,11,Schöneberg,1,1,0,3
wg-zimmer-in-Berlin-Kreuzberg.12237419.html,2025-08-15T00:00:00,600,20,Kreuzberg,2,0,0,3
wg-zimmer-in-Berlin-Prenzlauer-Berg.12160597.html,2025-07-28T00:00:00,570,13,Prenzlauer Berg,1,0,0,1
wg-zimmer-in-Berlin-Charlottenburg.12040965.html,2025-05-25T00:00:00,695,20,Charlottenburg,2,0,0,3
wg-zimmer-in-Berlin-Kreuzberg-Mitte-Tiergarten-Schoeneberg.5534385.html,2025-06-24T00:00:00,450,10,Kreuzberg Mitte Tiergarten ...,0,1,0,2
wg-zimmer-in-Berlin-Pankow.12249058.html,2025-08-16T00:00:00,750,23,Pankow,1,0,0,2
wg-zimmer-in-Berlin-Reinickendorf.10278247.html,2025-08-16T00:00:00,465,10,Reinickendorf,2,0,0,3
wg-zimmer-in-Berlin-Moabit.12126305.html,2025-07-28T00:00:00,559,20,Moabit,1,0,0,3
wg-zimmer-in-Berlin-Friedrichshain-Kreuzberg.12210846.html,2025-08-02T00:00:00,800,16,Friedrichshain-Kreuzberg,0,0,1,2
wg-zimmer-in-Berlin-Schmargendorf.12235138.html,2025-08-11T00:00:00,600,12,Schmargendorf,0,2,0,3
wg-zimmer-in-Berlin-Prenzlauer-Berg.9201514.html,2025-08-08T00:00:00,1050,115,Prenzlauer Berg,0,1,0,2
wg-zimmer-in-Berlin-Wilmersdorf.12215855.html,2025-08-04T00:00:00,800,12,Wilmersdorf,1,0,0,3
wg-zimmer-in-Berlin-Friedrichshain.12161570.html,2025-07-28T00:00:00,350,26,Friedrichshain,1,0,0,2
wg-zimmer-in-Berlin-Wedding.12133012.html,2025-07-04T00:00:00,630,22,Wedding,2,0,0,3
wg-zimmer-in-Berlin-Zehlendorf.12147600.html,2025-07-22T00:00:00,800,20,Zehlendorf,0,0,0,3
wg-zimmer-in-Berlin-Friedrichshain.12204543.html,2025-07-31T00:00:00,709,11,Friedrichshain,1,0,0,3
